packet_id	decision	realized_unique_tokens	blocker	review_note
v07-exact-7ecb6c79b8a11eaf	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-66123d3c5c115729	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-6aecad17260dbf25	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-5544c8d83935e4a6	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-dfdfb17449326484	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-08358ad05d8807c5	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The held-out target is a different lexeme or part of speech from the proposed analysis; surface similarity does not license this exact form.
v07-exact-3fe4815e6475edaf	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-3ba442ecb4bede29	rejected	0	held-out-context-cell-mismatch	The proposed cell is source-attested but does not parse the selected passage-disjoint evaluation sentence; a surface match alone cannot license this evaluation or runtime row.
v07-exact-932a1c48df5a0e86	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-4108785bc7e3a42a	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-800e8b33073e614f	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-197478568bcbf877	rejected	0	held-out-context-cell-mismatch	The proposed cell is source-attested but does not parse the selected passage-disjoint evaluation sentence; a surface match alone cannot license this evaluation or runtime row.
v07-exact-b8e3aaf53998b663	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-3853d0baf880a011	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-05d7738a78f4f5b9	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-11d518f571ec41b2	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-e09b0015c240bfc8	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
