packet_id	decision	realized_unique_tokens	blocker	review_note
v07-exact-572d705a82216e4c	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-a5da3ffc529e940b	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-8a9864c0e7f13398	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-0a2d3eb93bc6a16b	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-3bbd21980ec8b1e0	rejected	0	target-context-or-lexical-identity-mismatch	Reviewer rejected this packet because the proposed identity or typed cell does not match the representative Synodal contexts; the unsupported analysis remains abstained.
v07-exact-6e3ca487c050096a	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-30742db730dd171a	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-dbbea99005ce0e80	rejected	0	target-context-or-lexical-identity-mismatch	Reviewer rejected this packet because the proposed identity or typed cell does not match the representative Synodal contexts; the unsupported analysis remains abstained.
v07-exact-b93159728cc36453	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-f734067ad8ff0bea	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-abb02bab8b833c59	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-a36769c4fd8e3570	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-086d25fb1692dbe4	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-73c0df1cc5db3101	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-ef401162f84e67db	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-708d16b3186f4872	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-21cae190e9129514	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
v07-exact-a2cbcddab2226472	admitted	0		Reviewer confirmed the governed source identity, exact typed cell, bounded orthographic correspondence, source-partition whole-token witness, and passage-disjoint evaluation witness; no sibling cell or productive rule is implied.
v07-exact-935950c8b4a8867a	deferred	0	target-cell-adjudication-required	A different source-supported cell for this surface was admitted; this syncretic or competing cell remains deferred until target-context morphology is independently adjudicated.
