packet_id	decision	realized_unique_tokens	blocker	review_note
v07-exact-3bbd21980ec8b1e0	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-dbbea99005ce0e80	rejected	0	false-lexical-or-cell-alignment	Manual comparison of the source identity and cell with the target contexts found a homograph, wrong sense, or wrong inflectional cell; this proposal must not license runtime analysis.
v07-exact-b93159728cc36453	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-abb02bab8b833c59	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-a36769c4fd8e3570	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-086d25fb1692dbe4	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-73c0df1cc5db3101	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-ef401162f84e67db	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-708d16b3186f4872	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-21cae190e9129514	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-fc397a3dc5e7c314	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
v07-exact-bf3804b7e0e2a38c	admitted	0		Manual review confirmed lexical and semantic continuity, the bounded source-typed cell, exact NFC Synodal source spelling, and a passage-disjoint held-out witness. Admission is limited to this exact surface-cell pair.
