command	result	note
cargo fmt --all --check	pass	Workspace formatting is current on the final source tree.
cargo clippy --workspace --all-targets --all-features -- -D warnings	pass	All workspace targets and features compile without warnings.
cargo test --workspace --all-targets --all-features	pass	All unit, integration, CLI, example, extractor, and xtask tests passed with every target and feature enabled.
cargo test --workspace --doc	pass	All documentation tests passed, including the Synodal facade and dictionary examples.
cargo xtask synodal-fixture-bootstrap	pass	Each invocation reconstructed two empty caches and produced byte-identical candidate output with 2220 of 2291 expanded top-1 evaluation cells.
fixture reconstruction twice from separate empty temporary caches	pass	Two complete invocations, each using two fresh internal caches, produced the identical report SHA-256 32556c2738e24234aaac3d6c04bc6601bd2d00d66e745d0d19c8b68fa18d7d59 and candidate hash 03227728dbfe472f42db76e42bdefad6f6f7ddd89e6d6650ede2470383c02cb7.
cargo xtask synodal-check	pass	Generated registries, reviewed evidence, exact candidate links, source and evaluation partitions, Unicode, and runtime boundaries are current.
cargo xtask synodal-coverage --fixture --offline --check	pass	The locked ten-passage fixture remains current at 115 top-k tokens of 155 and 39 unresolved.
cargo xtask synodal-coverage --offline --check	pass	The locked 74130-passage corpus remains current at 919752 top-k tokens of 1313344 and 392554 unresolved.
cargo xtask synodal-lexical-review-queue --check	pass	The deterministic lexical queue is current with 191 cross-source proposals.
cargo xtask synodal-evaluation-queue --check	pass	The deterministic evaluation queue is current with 1601 passage-disjoint cells.
cargo xtask synodal-family-review-queue --check	pass	The deterministic family queue has 1736 proposals, 250 durable decisions, and all top 200 proposals explicitly reviewed.
cargo xtask synodal-marginal-recovery --check	pass	The canonical 70 percent target is 919341; the current margin is 411 and the 1742-batch diagnostic queue retains 139783 overlap-adjusted tokens without granting coverage.
cargo xtask synodal-v04-audit --check	pass	The immutable v0.4 audit and digest are current.
cargo xtask synodal-v05-baseline --check	pass	The immutable v0.5 baseline identity and digests are current.
cargo xtask synodal-v05-audit --check	pass	The immutable v0.5 audit and digest are current.
cargo xtask synodal-v06-review-packets --check	pass	The frozen v0.6 review packet artifacts match their locked digests.
cargo xtask synodal-v06-audit --check	pass	The frozen v0.6 65 percent audit matches its baseline digest.
cargo xtask synodal-v07-baseline --check	pass	The v0.7 comparison command validates the immutable v0.6 machine-readable baseline.
cargo xtask synodal-v07-review-packets --check	pass	The recomputed packet artifacts are current with 101 exact-cell rows, 41 candidate surfaces, 2616 candidate tokens, and explicit blockers for 585 identity conflicts.
cargo xtask synodal-v07-apply --check	pass	Materialization is current for one surviving current packet admission, 47 explicit variants, seven typed abbreviations, seven identity merges, and three evidence replacements.
cargo xtask synodal-v07-audit --check	pass	The generated v0.7 audit is byte-current and independently validates coverage, milestones, evidence boundaries, decisions, corrections, and every required verification row.
cargo xtask check-all	pass	The complete repository formatting, lint, tests, doc tests, registries, accuracy, public API, runtime boundary, attribution, Synodal, and example gate passed.
cargo xtask guard-witnesses	pass	Every injected base-workspace failure was detected and reverted.
cargo xtask synodal-guard-witnesses	pass	Every injected Synodal authority, evaluation, Unicode, review-overlay, and runtime-I/O failure was detected and reverted.
cargo check -p synodal-church-slavonic-core --no-default-features	pass	The Synodal core compiles natively without default features.
cargo check -p synodal-church-slavonic --no-default-features	pass	The Synodal facade compiles natively without default features.
cargo check -p synodal-church-slavonic-dictionary --no-default-features	pass	The Synodal dictionary library compiles natively without default features.
cargo check -p synodal-church-slavonic-core --target wasm32-unknown-unknown --no-default-features	pass	The Synodal core compiles for wasm32-unknown-unknown without default features.
cargo check -p synodal-church-slavonic --target wasm32-unknown-unknown --no-default-features	pass	The Synodal facade compiles for wasm32-unknown-unknown without default features.
cargo check -p synodal-church-slavonic-dictionary --target wasm32-unknown-unknown --no-default-features	pass	The Synodal dictionary library compiles for wasm32-unknown-unknown without default features.
cargo package --list --allow-dirty -p synodal-church-slavonic-core	pass	The core package contains only intended source, metadata, licenses, and documentation.
cargo package --list --allow-dirty -p synodal-church-slavonic	pass	The facade package contains the generated runtime registry but no corpora, reports, queues, references, caches, or source artifacts.
cargo package --list --allow-dirty -p synodal-church-slavonic-dictionary	pass	The dictionary package contains the generated runtime registry and CLI source but no corpora, reports, queues, references, caches, or source artifacts.
cargo publish --dry-run --no-verify --allow-dirty -p synodal-church-slavonic-core	pass	The core packaged successfully; Cargo emitted only expected unused-patch warnings and aborted upload because this was a dry run.
cargo publish --dry-run --no-verify --allow-dirty -p synodal-church-slavonic	pass	The facade packaged successfully; Cargo emitted only the expected unused-patch warning and aborted upload because this was a dry run.
cargo publish --dry-run --no-verify --allow-dirty -p synodal-church-slavonic-dictionary	pass	The dictionary packaged successfully; Cargo emitted expected excluded-test and unused-patch warnings and aborted upload because this was a dry run.
cargo xtask synodal-bootstrap --offline --cache references/downloads	pass	All 321 immutable source artifacts verified without network access and reproduced the 855-lexeme, 3815-runtime-form, 855-sense registries and 2291-cell evaluation.
git diff --check	pass	The complete working-tree diff has no whitespace errors.
full intended diff review against merge base	pass	Reviewed all intended tracked and untracked v0.3-v0.7 work against main merge base 1b8ed2db2168a4e5cd70f56941c5f1aae7c5018c while preserving the unrelated source-availability workflow edit.
final independent full-diff review	pass	The separate review covered evidence identity and roles, passage leakage, exact cells, ambiguity, Unicode, resolver accounting, queues, generated freshness, runtime boundaries, no-std and WASM, package contents, tests, workflows, and documentation. It corrected duplicate runtime identities, overlapping held-out witnesses, stale decisions and tests, the marginal target, packet baseline/current accounting, conflict retention, baseline sealing, and current-version docs. Shared governed section or passage candidates and top-1 changes were rejected as defects after validation; no confirmed P0 or P1 remains.
candidate-link and leakage validation	pass	All runtime evidence links resolve to pinned candidates; evaluation-partition and passage-overlapping evidence are rejected and the three found v0.7 overlaps were replaced with source-partition witnesses.
package contents inspection	pass	An explicit deny-pattern scan of all three package lists found no reports, references, intermediate data, quarantine data, downloads, or review queues.
