packet_id	decision	realized_unique_tokens	blocker	review_note
v07-exact-016c160e86de5520	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-26f75a2c57b4e71b	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-05824d620b214a13	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-7ecb6c79b8a11eaf	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-66123d3c5c115729	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-78815fd57fd53256	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-45fda502ef15246a	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-4fc919966920752a	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-a332867980fc2cf3	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-6aecad17260dbf25	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-f6aefc260d38ba10	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-5544c8d83935e4a6	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-dfdfb17449326484	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-df4d5513f23ad9fd	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-11037d4aa057d1fc	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-d4a4a85036af7269	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-d06adf836814761e	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-08358ad05d8807c5	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The held-out target is a different lexeme or part of speech from the proposed analysis; surface similarity does not license this exact form.
v07-exact-0c356e42db297969	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The held-out target is a different lexeme or part of speech from the proposed analysis; surface similarity does not license this exact form.
v07-exact-3a9673930d3bcf98	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-3fe4815e6475edaf	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-3ba442ecb4bede29	rejected	0	held-out-context-cell-mismatch	The proposed cell is source-attested but does not parse the selected passage-disjoint evaluation sentence; a surface match alone cannot license this evaluation or runtime row.
v07-exact-932a1c48df5a0e86	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-4108785bc7e3a42a	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-800e8b33073e614f	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-16ac47beb65762c8	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-d22957dd2d715ccc	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-197478568bcbf877	rejected	0	held-out-context-cell-mismatch	The proposed cell is source-attested but does not parse the selected passage-disjoint evaluation sentence; a surface match alone cannot license this evaluation or runtime row.
v07-exact-b8e3aaf53998b663	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-cfbca3fb2463212b	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-3853d0baf880a011	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-05d7738a78f4f5b9	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-11d518f571ec41b2	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-e09b0015c240bfc8	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-816f8a2a66d43c67	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-1835c6173a0d425f	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-475495906302416e	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-22fdb79fc537131e	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-faec799bb9239cd3	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-2194acc87798df0e	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-eb3c8175dcc1a13d	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-b008e3f1bf8c290c	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-1990cb7526d728d9	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-45f8fd690b3e6b63	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-b9580b1dd72b9666	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-43011601cb97c0aa	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-722990fb47365625	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-efb20fe5a601bb63	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-ec39fd8ff7a35a84	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-d8a2ba99c51d7e4c	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-c7cc72c35cd6f203	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-fe5f1a426ecdc411	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-b0d09866dee4cc8e	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-70bb47cf98e21ad4	deferred	0	unresolved-proper-name-identity-and-cell	The shared surface spans Joseph, Hosea, and Josiah records, while the held-out sentence requires Josiah genitive singular; the available packets do not provide that exact governed pairing.
v07-exact-3a3e55f806053737	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-36018a7b45e7d935	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-2f4b5119d0a225fe	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-a036d85e64775eb5	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-3ed35689bdb163ba	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-73ebce6e8aaf14eb	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-a18c7ba091dfca35	rejected	0	held-out-context-cell-mismatch	The passage-disjoint held-out sentence requires a different grammatical cell; this proposal remains unlicensed rather than manufacturing ambiguity.
v07-exact-8c7e0e94e48c21ed	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-95168a051761d86e	rejected	0	held-out-context-cell-mismatch	The proposed cell is source-attested but does not parse the selected passage-disjoint evaluation sentence; a surface match alone cannot license this evaluation or runtime row.
v07-exact-abbad69d6fae04b5	admitted	0		Reviewed the governed semantic identity, source-partition typed cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out syntax and licenses no sibling cell or productive rule.
v07-exact-407128e13111a7fc	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-79856b6389b2bff0	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-c3209585ef086b92	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-12a1d86004bac6ee	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-d2aa10965eb63bfd	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-dc5a58b665cd0d15	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-808cca8c9d2b692e	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-085ec7e9c4501275	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-97e686acbdb72df2	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-1f02fba63933bc06	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-a7a6342f779cdf39	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-8580ae8eba87be26	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-67db751e7ce736b3	deferred	0	exact-typed-cell-or-context-evidence-required	The source offers only an untyped lexical form or a cell that does not match the held-out sentence; retain the candidate without licensing runtime behavior.
v07-exact-43e713f0d384897d	rejected	0	held-out-context-cell-mismatch	The proposed cell is source-attested but does not parse the selected passage-disjoint evaluation sentence; a surface match alone cannot license this evaluation or runtime row.
v07-exact-c64e750546438e11	deferred	0	exact-typed-cell-or-context-evidence-required	The source offers only an untyped lexical form or a cell that does not match the held-out sentence; retain the candidate without licensing runtime behavior.
