packet_id	decision	realized_unique_tokens	blocker	review_note
v07-exact-01e3c36c7e4a8b75	admitted	0		Reviewed the governed lexical identity, exact source-partition cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out context and licenses no sibling cell or productive rule.
v07-exact-79c9fea62d138bdf	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-3bbd21980ec8b1e0	rejected	0	lexical-semantic-or-part-of-speech-mismatch	The proposed source analysis is a different lexeme, sense, or part of speech from the target occurrence; surface similarity is not identity evidence.
v07-exact-657cbfd54811ca06	admitted	0		Reviewed the governed lexical identity, exact source-partition cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out context and licenses no sibling cell or productive rule.
v07-exact-4f5cd09c238d7259	admitted	0		Reviewed the governed lexical identity, exact source-partition cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out context and licenses no sibling cell or productive rule.
v07-exact-2c4d8e4fc41fecd2	admitted	0		Reviewed the governed lexical identity, exact source-partition cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out context and licenses no sibling cell or productive rule.
v07-exact-82b2e1fbca233cda	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-758d02152cbe8aed	admitted	0		Reviewed the governed lexical identity, exact source-partition cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out context and licenses no sibling cell or productive rule.
v07-exact-c94f0f5cbe7cf450	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
v07-exact-64f59d517e52a8c9	admitted	0		Reviewed the governed lexical identity, exact source-partition cell, NFC target witness, and passage-disjoint held-out sentence; the selected cell matches the held-out context and licenses no sibling cell or productive rule.
v07-exact-b417d31ffde45767	rejected	0	held-out-context-cell-mismatch	A different candidate for this surface matches the reviewed held-out context; this competing cell remains unlicensed rather than manufacturing ambiguity.
